site_id,bs_id,scenario,sector_az_deg,lat,lon,total_MHz,used_MHz,util_pct,attached_users,demand_Mbps,served_Mbps
41,125,RMA,270.0,43.86001,-79.0622,20.0,20.0,100.0,976,402.25,221.24
42,126,RMA,30.0,43.89649,-79.49974,20.0,20.0,100.0,898,350.57,165.74
42,127,RMA,150.0,43.89649,-79.49974,20.0,20.0,100.0,1131,439.34,168.97
42,128,RMA,270.0,43.89649,-79.49974,20.0,20.0,100.0,1040,396.41,176.97
43,129,RMA,30.0,43.89649,-79.4414,20.0,20.0,100.0,980,383.56,207.54
43,130,RMA,150.0,43.89649,-79.4414,20.0,20.0,100.0,946,390.03,194.15
43,131,RMA,270.0,43.89649,-79.4414,20.0,20.0,100.0,965,375.38,193.59
44,132,RMA,30.0,43.89649,-79.38306,20.0,20.0,100.0,773,327.72,159.84
44,133,RMA,150.0,43.89649,-79.38306,20.0,20.0,100.0,796,290.05,162.61
44,134,RMA,270.0,43.89649,-79.38306,20.0,19.999,100.0,696,270.46,146.15
45,135,RMA,30.0,43.89649,-79.32472,20.0,20.0,100.0,987,401.38,176.68
45,136,RMA,150.0,43.89649,-79.32472,20.0,20.0,100.0,1044,423.92,187.51
45,137,RMA,270.0,43.89649,-79.32472,20.0,20.0,100.0,726,288.0,167.96
46,138,RMA,30.0,43.89649,-79.26639,20.0,20.0,100.0,1010,400.03,200.21
46,139,RMA,150.0,43.89649,-79.26639,20.0,20.0,100.0,1062,426.52,207.89
46,140,RMA,270.0,43.89649,-79.26639,20.0,19.999,100.0,1143,454.2,209.93
47,141,RMA,30.0,43.89649,-79.20805,20.0,20.0,100.0,584,226.35,149.19
47,142,RMA,150.0,43.89649,-79.20805,20.0,20.0,100.0,771,309.53,161.43
47,143,RMA,270.0,43.89649,-79.20805,20.0,20.0,100.0,843,331.28,163.96
48,144,RMA,30.0,43.89649,-79.14971,20.0,16.737,83.7,205,73.53,73.53
48,145,RMA,150.0,43.89649,-79.14971,20.0,20.0,100.0,352,135.62,116.57
48,146,RMA,270.0,43.89649,-79.14971,20.0,20.0,100.0,441,170.24,123.51
49,147,RMA,30.0,43.89649,-79.09137,20.0,20.0,100.0,318,126.67,115.01
49,148,RMA,150.0,43.89649,-79.09137,20.0,20.0,100.0,703,288.91,153.44
49,149,RMA,270.0,43.89649,-79.09137,20.0,20.0,100.0,292,97.28,94.1
50,150,RMA,30.0,43.93298,-79.52891,20.0,20.0,100.0,529,197.85,144.61
50,151,RMA,150.0,43.93298,-79.52891,20.0,20.0,100.0,711,277.84,164.89
50,152,RMA,270.0,43.93298,-79.52891,20.0,17.688,88.4,245,95.68,95.68
51,153,RMA,30.0,43.93298,-79.47057,20.0,20.0,100.0,928,365.65,181.83
51,154,RMA,150.0,43.93298,-79.47057,20.0,20.0,100.0,616,236.03,163.48
51,155,RMA,270.0,43.93298,-79.47057,20.0,20.0,100.0,1025,401.29,187.56
52,156,RMA,30.0,43.93298,-79.41223,20.0,20.0,100.0,718,275.01,152.04
52,157,RMA,150.0,43.93298,-79.41223,20.0,20.0,100.0,813,339.28,163.83
52,158,RMA,270.0,43.93298,-79.41223,20.0,19.999,100.0,823,324.45,164.36
53,159,RMA,30.0,43.93298,-79.35389,20.0,20.0,100.0,674,243.74,145.07
53,160,RMA,150.0,43.93298,-79.35389,20.0,20.0,100.0,669,264.36,149.01
53,161,RMA,270.0,43.93298,-79.35389,20.0,20.0,100.0,634,240.15,133.91
54,162,RMA,30.0,43.93298,-79.29556,20.0,20.0,100.0,692,287.93,148.22
54,163,RMA,150.0,43.93298,-79.29556,20.0,20.0,100.0,766,309.27,149.37
54,164,RMA,270.0,43.93298,-79.29556,20.0,20.0,100.0,733,287.22,153.84
55,165,RMA,30.0,43.93298,-79.23722,20.0,20.0,100.0,482,183.65,120.37
55,166,RMA,150.0,43.93298,-79.23722,20.0,20.0,100.0,531,193.98,126.6
55,167,RMA,270.0,43.93298,-79.23722,20.0,20.0,100.0,734,321.18,154.7
56,168,RMA,30.0,43.96946,-79.4414,20.0,19.999,100.0,687,266.25,175.25
56,169,RMA,150.0,43.96946,-79.4414,20.0,20.0,100.0,654,279.99,168.33
56,170,RMA,270.0,43.96946,-79.4414,20.0,20.0,100.0,982,396.84,187.12
57,171,RMA,30.0,43.96946,-79.38306,20.0,17.135,85.7,250,91.34,91.34
57,172,RMA,150.0,43.96946,-79.38306,20.0,20.0,100.0,690,261.83,158.59
57,173,RMA,270.0,43.96946,-79.38306,20.0,20.0,100.0,580,207.14,144.99
58,174,RMA,30.0,43.96946,-79.26639,20.0,20.0,100.0,1101,439.18,178.85
58,175,RMA,150.0,43.96946,-79.26639,20.0,20.0,100.0,707,274.01,154.9
58,176,RMA,270.0,43.96946,-79.26639,20.0,20.0,100.0,401,164.2,137.03
59,177,RMA,30.0,43.96946,-79.20805,20.0,19.999,100.0,350,142.51,130.86
59,178,RMA,150.0,43.96946,-79.20805,20.0,20.0,100.0,258,109.31,107.02
59,179,RMA,270.0,43.96946,-79.20805,20.0,20.0,100.0,727,278.93,147.93
60,180,RMA,30.0,43.96946,-79.14971,20.0,20.0,100.0,490,210.32,149.56
60,181,RMA,150.0,43.96946,-79.14971,20.0,20.0,100.0,377,162.9,129.39
60,182,RMA,270.0,43.96946,-79.14971,20.0,10.634,53.2,136,48.19,48.19
61,183,UMI,30.0,43.61657,-79.38381,100.0,2.641,2.6,23,8.21,8.21
61,184,UMI,150.0,43.61657,-79.38381,100.0,1.835,1.8,30,10.1,10.1
61,185,UMI,270.0,43.61657,-79.38381,100.0,3.148,3.1,32,14.37,14.37
62,186,UMI,30.0,43.62454,-79.39656,100.0,7.851,7.9,41,20.29,20.29
62,187,UMI,150.0,43.62454,-79.39656,100.0,1.761,1.8,20,5.78,5.78
62,188,UMI,270.0,43.62454,-79.39656,100.0,2.25,2.2,21,8.66,8.66
63,189,UMI,30.0,43.62852,-79.47622,100.0,13.251,13.3,86,33.59,33.59
63,190,UMI,150.0,43.62852,-79.47622,100.0,6.61,6.6,51,21.01,21.01
63,191,UMI,270.0,43.62852,-79.47622,100.0,5.981,6.0,47,12.68,12.68
64,192,UMI,30.0,43.62852,-79.43161,100.0,12.738,12.7,68,26.72,26.72
64,193,UMI,150.0,43.62852,-79.43161,100.0,3.801,3.8,38,15.89,15.89
64,194,UMI,270.0,43.62852,-79.43161,100.0,5.992,6.0,45,19.09,19.09
65,195,UMI,30.0,43.62852,-79.42523,100.0,9.395,9.4,89,26.28,26.28
65,196,UMI,150.0,43.62852,-79.42523,100.0,7.027,7.0,60,21.78,21.78
65,197,UMI,270.0,43.62852,-79.42523,100.0,6.621,6.6,62,24.84,24.84
66,198,UMI,30.0,43.62852,-79.41886,100.0,13.417,13.4,91,39.58,39.58
66,199,UMI,150.0,43.62852,-79.41886,100.0,7.572,7.6,57,20.77,20.77
66,200,UMI,270.0,43.62852,-79.41886,100.0,9.73,9.7,76,28.22,28.22
