h3_id,served_users,median_SE_bps_hz,median_SINR_dB
852b8177fffffff,1517,5.892,27.28
850eca73fffffff,1469,4.618,21.35
852b9a0ffffffff,1439,4.478,20.7
85276ed3fffffff,1429,5.88,27.22
852b8e4ffffffff,1416,5.781,26.76
852ab627fffffff,1359,6.23,28.85
852b98c7fffffff,1317,5.813,26.91
852b8e47fffffff,1314,6.891,31.91
852b9e3bfffffff,1302,5.892,27.28
852b8157fffffff,1261,7.183,33.26
852b9c87fffffff,1237,5.693,26.36
850edb8bfffffff,1236,5.632,26.07
852b9e2bfffffff,1213,7.923,36.69
852ab20ffffffff,1211,6.552,30.34
852ab4dbfffffff,1202,6.215,28.78
852ab403fffffff,1200,5.439,25.18
8527698ffffffff,1196,5.777,26.75
852b9d83fffffff,1160,5.908,27.36
85277627fffffff,1153,5.808,26.89
850eca47fffffff,1143,10.043,46.51
85276d0ffffffff,1142,5.888,27.26
852b9383fffffff,1139,5.896,27.3
852b98affffffff,1130,6.071,28.11
85276937fffffff,1116,5.648,26.14
852ab427fffffff,1106,6.367,29.48
8527654ffffffff,1102,5.928,27.45
852b8373fffffff,1102,5.795,26.83
852b83bbfffffff,1101,6.529,30.23
850ecbd7fffffff,1100,6.087,28.18
852ab4c3fffffff,1049,5.572,25.8
85276997fffffff,1037,6.378,29.54
852ab0cbfffffff,1019,5.977,27.67
852ab617fffffff,1001,5.621,26.02
852b9db7fffffff,984,6.12,28.34
852b8307fffffff,981,7.043,32.61
85272997fffffff,979,4.953,22.91
85270c83fffffff,977,6.55,30.33
852b9c6bfffffff,969,6.528,30.23
852b9e0ffffffff,967,6.178,28.6
852ab4d7fffffff,964,6.12,28.34
852b8ed7fffffff,907,6.329,29.3
852b9d17fffffff,906,6.205,28.73
852ab0cffffffff,903,6.491,30.05
852ab677fffffff,901,6.495,30.08
85276933fffffff,893,7.973,36.92
852b8323fffffff,892,6.139,28.42
852ab453fffffff,867,6.647,30.78
852b9dc7fffffff,865,5.697,26.37
852b834bfffffff,862,6.105,28.27
852b8357fffffff,854,6.827,31.61
850ec18bfffffff,839,8.769,40.61
852708cbfffffff,830,5.844,27.06
85270143fffffff,821,5.369,24.85
85270cc3fffffff,801,5.184,23.99
8527202bfffffff,798,7.752,35.9
852ab62bfffffff,759,7.872,36.46
85276e9bfffffff,744,5.864,27.15
852b9d03fffffff,739,10.768,49.87
852ab4a7fffffff,728,6.41,29.68
852ab297fffffff,716,5.715,26.46
852775d7fffffff,693,5.958,27.59
85272987fffffff,686,9.505,44.02
852b9387fffffff,677,6.923,32.06
852ab6a3fffffff,676,7.904,36.61
850eca4bfffffff,675,6.74,31.21
850edbcffffffff,660,11.926,55.23
852ab687fffffff,660,7.031,32.56
852b9e0bfffffff,639,6.853,31.73
852ab593fffffff,635,5.971,27.64
85276c3bfffffff,631,5.842,27.05
852b9e9bfffffff,624,5.645,26.13
85277407fffffff,618,5.661,26.21
85272067fffffff,613,7.826,36.24
852b9db3fffffff,605,6.134,28.4
852b9acffffffff,605,7.291,33.76
852b9993fffffff,602,6.419,29.72
852b9317fffffff,597,5.752,26.63
852701abfffffff,588,6.465,29.93
852b823bfffffff,569,8.689,40.24
852b9eabfffffff,554,4.866,22.51
85276617fffffff,553,10.876,50.37
852b9893fffffff,535,5.789,26.8
852b98a7fffffff,527,6.603,30.58
852b982ffffffff,525,6.87,31.81
852760d3fffffff,519,8.255,38.23
85270163fffffff,518,8.996,41.66
85276987fffffff,513,6.047,28.0
852ab0d3fffffff,498,7.113,32.94
852b938bfffffff,493,7.443,34.47
852ab603fffffff,487,4.64,21.46
852ab2a3fffffff,477,6.798,31.48
852b9ed7fffffff,470,6.048,28.0
8527698bfffffff,468,9.673,44.8
85270e97fffffff,448,6.827,31.61
850ec0bbfffffff,446,5.639,26.11
852b9e23fffffff,445,6.048,28.0
852b9167fffffff,436,6.293,29.14
852b8103fffffff,435,6.424,29.75
852703a7fffffff,434,7.313,33.87
852b835bfffffff,431,6.454,29.89
852b9eb3fffffff,417,6.977,32.31
852b9887fffffff,416,6.402,29.65
8527759bfffffff,404,8.628,39.96
852b9c7bfffffff,401,6.34,29.36
852b8317fffffff,394,5.795,26.83
852b9017fffffff,384,7.438,34.44
852b9e17fffffff,378,8.303,38.45
852763abfffffff,371,6.543,30.3
85276643fffffff,367,7.295,33.78
852b9a43fffffff,354,6.061,28.07
852b9013fffffff,345,9.901,45.85
852b9a03fffffff,339,6.262,29.0
852ab4cbfffffff,336,7.114,32.94
85276d57fffffff,333,5.754,26.64
852b9e53fffffff,333,5.924,27.43
852ab047fffffff,315,8.619,39.92
852b81bbfffffff,315,8.824,40.87
85272a37fffffff,295,6.53,30.24
85270507fffffff,295,14.715,68.15
852b8e4bfffffff,293,6.0,27.78
85276d33fffffff,293,7.902,36.6
852b92d7fffffff,293,9.616,44.53
850ed663fffffff,281,5.423,25.1
852ab457fffffff,279,7.904,36.61
852b94cbfffffff,270,7.856,36.38
852723b3fffffff,259,8.415,38.97
85270d43fffffff,257,10.513,48.69
850ed39bfffffff,254,5.314,24.59
852ab5d7fffffff,251,5.974,27.66
850ef38bfffffff,249,8.754,40.54
8527646bfffffff,248,6.419,29.72
852766d3fffffff,246,4.81,22.25
850ed86bfffffff,246,6.133,28.4
850edc57fffffff,244,7.224,33.45
852760c7fffffff,239,6.451,29.87
85276c03fffffff,234,11.369,52.65
852b9e83fffffff,233,6.737,31.2
852b9c2bfffffff,233,6.889,31.9
852769bbfffffff,230,6.852,31.73
85270eabfffffff,230,9.182,42.52
8527748ffffffff,229,9.195,42.58
852ab28bfffffff,219,5.695,26.36
85276d07fffffff,216,7.624,35.31
85272d4bfffffff,215,8.14,37.7
852b967bfffffff,208,10.748,49.78
852b8347fffffff,208,6.623,30.67
85272a23fffffff,204,5.024,23.25
852b8167fffffff,201,6.605,30.59
852b9e03fffffff,196,5.548,25.68
85270883fffffff,195,8.401,38.91
852b9d0ffffffff,195,6.356,29.43
852b9e77fffffff,194,7.844,36.33
850eca33fffffff,192,11.87,54.97
850ec843fffffff,191,9.408,43.57
85272b7bfffffff,191,9.45,43.76
852776b3fffffff,190,8.0,37.05
852b8e43fffffff,187,8.752,40.53
85277493fffffff,182,6.036,27.95
852b8337fffffff,182,4.872,22.54
852b93bbfffffff,177,9.088,42.09
85276c23fffffff,176,9.049,41.91
852b813bfffffff,176,5.848,27.08
852b946ffffffff,170,6.803,31.5
852760c3fffffff,163,8.209,38.02
852b9a73fffffff,161,9.546,44.21
85277043fffffff,159,6.876,31.84
85270e17fffffff,153,10.34,47.89
850edbc3fffffff,151,10.888,50.42
852b8ecffffffff,150,5.757,26.65
852b9e8bfffffff,146,6.457,29.9
852b9a53fffffff,145,6.87,31.81
852b988bfffffff,141,6.765,31.33
8527704ffffffff,140,6.59,30.52
852b9a1bfffffff,139,6.864,31.78
852b9227fffffff,136,7.085,32.81
85272a27fffffff,135,8.293,38.41
850ecbc3fffffff,130,5.641,26.12
852b8e53fffffff,128,6.348,29.39
852b933bfffffff,125,8.19,37.93
85270d7bfffffff,119,8.434,39.06
852b9c6ffffffff,114,5.775,26.73
852b935bfffffff,113,5.932,27.46
852770dbfffffff,110,7.121,32.98
852b9e87fffffff,108,11.988,55.52
85276c0ffffffff,107,8.478,39.26
852729affffffff,105,10.026,46.43
852ab623fffffff,103,6.255,28.96
852ab223fffffff,103,8.414,38.97
850ed06ffffffff,100,6.185,28.64
85270e07fffffff,100,9.385,43.46
850eca7bfffffff,97,9.667,44.77
852ab637fffffff,94,6.529,30.23
852b90d7fffffff,94,8.326,38.56
85272823fffffff,89,9.044,41.89
85276577fffffff,89,8.206,38.0
850ed9b3fffffff,88,6.609,30.6
85277057fffffff,83,7.016,32.49
852b9393fffffff,83,9.118,42.23
852b9a77fffffff,78,6.724,31.14
85272e27fffffff,78,8.833,40.91
852b932bfffffff,76,6.847,31.71
852b989bfffffff,70,7.269,33.66
852b908ffffffff,70,8.547,39.58
852b999bfffffff,69,7.685,35.59
852b9323fffffff,68,6.096,28.23
8527662bfffffff,67,8.039,37.23
85276d37fffffff,67,6.272,29.04
850ecd0ffffffff,65,5.985,27.71
85270cd3fffffff,64,6.184,28.64
85276d3bfffffff,63,8.81,40.8
8527614ffffffff,62,8.789,40.7
85270ebbfffffff,61,7.052,32.66
852b96a3fffffff,58,9.321,43.17
85270cd7fffffff,55,7.531,34.88
85272a47fffffff,54,6.49,30.05
852b9d4bfffffff,53,8.148,37.73
85270ec3fffffff,53,7.153,33.12
852ab04ffffffff,51,8.152,37.75
852b9d8ffffffff,51,9.134,42.3
852aa6cbfffffff,50,6.991,32.38
850ecba7fffffff,50,6.761,31.31
852b91cffffffff,49,7.108,32.92
852b9d97fffffff,49,4.982,23.05
852b9ed3fffffff,45,8.473,39.24
852b9c07fffffff,45,7.586,35.13
852b9e5bfffffff,44,6.035,27.94
85276c4ffffffff,43,5.661,26.21
850eca27fffffff,40,8.725,40.41
8527646ffffffff,40,6.995,32.39
85276393fffffff,40,11.307,52.36
852b9447fffffff,39,5.257,24.33
852b9463fffffff,38,5.78,26.76
852ab057fffffff,38,9.169,42.46
85270ec7fffffff,36,9.643,44.66
85277637fffffff,36,7.486,34.67
850edb87fffffff,36,9.311,43.12
852776affffffff,35,6.415,29.71
852b9163fffffff,35,11.555,53.51
85270d5bfffffff,35,8.921,41.31
85270d8ffffffff,34,7.986,36.99
850ec967fffffff,33,6.456,29.9
852b9e37fffffff,33,6.399,29.63
852b9ea3fffffff,33,6.287,29.11
852b910ffffffff,33,5.184,23.99
852b9c23fffffff,33,5.936,27.48
852b9d47fffffff,32,7.876,36.47
852761affffffff,31,5.543,25.66
852b9467fffffff,31,6.784,31.41
852ab233fffffff,31,8.825,40.87
852ab55bfffffff,31,6.509,30.14
852764cffffffff,29,10.436,48.33
8527693bfffffff,29,6.632,30.71
8527746ffffffff,28,6.845,31.7
852761c7fffffff,28,5.381,24.91
8527010ffffffff,27,5.687,26.33
850ed95bfffffff,27,9.273,42.95
852b98cffffffff,27,6.759,31.3
852b93b3fffffff,26,6.625,30.68
850ec92ffffffff,25,5.715,26.46
852b96d7fffffff,25,5.101,23.61
85276177fffffff,24,6.169,28.56
85276067fffffff,24,5.551,25.7
852708cffffffff,23,8.12,37.6
850ec803fffffff,23,9.423,43.64
85270d83fffffff,23,10.915,50.55
852b831bfffffff,23,6.948,32.17
852b9b8bfffffff,23,6.699,31.02
8527709bfffffff,23,8.337,38.61
8527012bfffffff,22,6.212,28.76
8527602bfffffff,22,11.88,55.02
8527662ffffffff,22,5.462,25.28
85270edbfffffff,22,5.988,27.72
852b8e13fffffff,21,6.464,29.93
85276163fffffff,21,5.026,23.26
85276c13fffffff,20,8.573,39.7
852b96b7fffffff,20,6.533,30.25
852b9d1bfffffff,19,5.605,25.95
85276d0bfffffff,19,8.527,39.49
852b9cb3fffffff,19,7.782,36.04
8527282ffffffff,18,5.689,26.34
85270ea7fffffff,18,6.648,30.79
852ab68ffffffff,18,8.535,39.52
852772d7fffffff,18,5.182,23.98
852b9897fffffff,18,6.186,28.64
852b9653fffffff,18,8.478,39.26
85276387fffffff,17,5.736,26.55
85276467fffffff,17,9.123,42.25
85270cdbfffffff,17,7.416,34.34
852b91b3fffffff,17,8.923,41.33
85276d03fffffff,17,9.961,46.13
850ec97bfffffff,17,7.265,33.64
85276c87fffffff,17,7.749,35.89
85272a2ffffffff,16,6.986,32.35
852b9883fffffff,16,7.462,34.56
852b9c4ffffffff,16,7.136,33.04
85272887fffffff,16,5.724,26.5
8527601bfffffff,16,8.013,37.11
852b92d3fffffff,16,8.35,38.67
85276c0bfffffff,15,5.319,24.62
85276913fffffff,15,4.167,19.25
852b918ffffffff,15,4.776,22.09
852b83cffffffff,15,7.492,34.69
85277283fffffff,15,7.24,33.53
8527763bfffffff,15,5.916,27.39
852b92affffffff,15,6.22,28.8
852b96d3fffffff,14,6.953,32.2
852b9cb7fffffff,14,6.321,29.27
8527761bfffffff,14,6.024,27.89
85276687fffffff,14,6.513,30.16
852b833bfffffff,14,6.855,31.74
852ab59bfffffff,14,4.399,20.33
85277623fffffff,13,8.116,37.58
85276383fffffff,13,6.564,30.4
852b9023fffffff,13,6.564,30.4
852b91bbfffffff,13,6.654,30.81
852b83cbfffffff,13,6.314,29.24
852b9ecffffffff,13,6.388,29.58
85276c37fffffff,13,6.977,32.31
85276167fffffff,13,6.06,28.06
850ed87bfffffff,13,9.222,42.71
852b8adbfffffff,13,5.254,24.32
85270c67fffffff,12,8.7,40.29
852ab097fffffff,12,6.13,28.39
852b92dbfffffff,12,7.325,33.92
852b92c3fffffff,12,5.505,25.48
85270897fffffff,12,7.831,36.27
852b8e6bfffffff,12,6.099,28.24
85270c4ffffffff,12,9.033,41.84
85276597fffffff,12,7.874,36.47
852b91dbfffffff,12,6.65,30.79
852ab667fffffff,12,6.223,28.81
8527016bfffffff,11,7.529,34.87
85276c47fffffff,11,7.868,36.44
852b926ffffffff,11,11.79,54.6
852b9ea7fffffff,11,5.628,26.05
852b9ec7fffffff,11,9.38,43.44
85276c9bfffffff,11,8.977,41.57
852b9233fffffff,11,6.507,30.13
85270ea3fffffff,11,6.475,29.98
85276cc3fffffff,11,5.908,27.35
85276c53fffffff,11,4.999,23.13
852b9177fffffff,11,7.003,32.43
85272a6ffffffff,10,9.243,42.81
850ec84ffffffff,10,9.339,43.25
852b9dd3fffffff,10,7.114,32.94
852776cffffffff,10,6.948,32.18
852b9d93fffffff,10,6.423,29.74
8527708bfffffff,10,7.829,36.25
852b9ccffffffff,10,7.298,33.8
852b9667fffffff,10,6.324,29.28
85277483fffffff,10,3.961,18.28
85270d53fffffff,10,6.615,30.63
850ecb37fffffff,10,5.42,25.09
852b9c97fffffff,10,6.507,30.13
